Short description,Description,Caller,Assignment group
login issue,"-verified user details.(employee# & manager name)
-checked the user name in ad and reset the password.
-advised the user to login and check.
-caller confirmed that he was able to login.
-issue resolved.",spxjnwir pjlcoqds,GRP_0
outlook,"received from: hmjdrvpb.komuaywn@gmail.com

hello team,

my meetings/skype meetings etc are not appearing in my outlook calendar, can somebody please advise how to correct this?

kind",hmjdrvpb komuaywn,GRP_0
cant log in to vpn,"received from: eylqgodm.ybqkwiam@gmail.com

hi

i cannot log on to vpn

best",eylqgodm ybqkwiam,GRP_0
unable to access hr_tool page,unable to access hr_tool page,xbkucsvz gcpydteq,GRP_0
Error skype,Error skype,owlgqjme qhcozdfx,GRP_0
unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,eflahbxn ltdgrvkz,GRP_0
event: critical:HostName_221.company.com the value of mountpoint threshold for /oracle/SID_37/erpdata21/,"event: critical:HostName_221.company.com the value of mountpoint threshold for /oracle/SID_37/erpdata21/sr3psa1d_7/sr3psa1d.data7,perpsr3psa1d,4524 is 98",jyoqwxhz clhxsoqy,GRP_1
ticket_no1550391- employment status - new non-employee [enter user's name],ticket_no1550391- employment status - new non-employee [enter user's name],eqzibjhw ymebpoih,GRP_0
unable to disable add ins on outlook,unable to disable add ins on outlook,mdbegvct dbvichlg,GRP_0
ticket update on inplant_874773,ticket update on inplant_874773,fumkcsji sarmtlhy,GRP_0
engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,badgknqs xwelumfz,GRP_0
hr_tool site not loading page correctly,hr_tool site not loading page correctly,dcqsolkx kmsijcuz,GRP_0
unable to login to hr_tool to sgxqsuojr xwbesorf cards,unable to login to hr_tool to sgxqsuojr xwbesorf cards,oblekmrw qltgvspb,GRP_0
user wants to reset the password,user wants to reset the password,iftldbmu fujslwby,GRP_0
unable to open payslips,unable to open payslips,epwyvjsz najukwho,GRP_0
ticket update on inplant_874743,ticket update on inplant_874743,fumkcsji sarmtlhy,GRP_0
unable to login to company vpn,"received from: xyz@company.com

hi,

i am unable to login to company vpn website, trying to open a new session using the below link, but not able to get through pls help urgently as we are working from home tomorrow due to month end closing.",chobktqj qdamxfuc,GRP_0
"when undocking pc , screen will not come back","when undocking pc , screen will not come back",sigfdwcj reofwzlm,GRP_3
erp SID_34 account locked,erp SID_34 account locked,nqdyowsm yqerwtna,GRP_0
unable to sign into vpn,unable to sign into vpn,ftsqkvre bqzrupic,GRP_0
unable to check payslips,unable to check payslips,mrzgjdal whnldmef,GRP_0
vpn issue,"received from: ugephfta.hrbqkvij@gmail.com

hello helpdesk

i am not able to connect vpn from home office. couple f hours ago i was connected, now it is not working anymore. getting a message that my session expired but if i click on the link, nothing happens.

[cid:image001.jpg@01d233aa.3f618be0]

*********************

need help with your dynamics crm?
click here<

chat with a live agent regarding your dynamics crm questions now! click here<

best",ugephfta hrbqkvij,GRP_0
unable to connect to vpn,unable to connect to vpn,pfmcnahv ofzlusri,GRP_0
user called for vendor phone number,user called for vendor phone number,fumkcsji sarmtlhy,GRP_0
vpn not working,"received from: dceoufyz.saufqkmd@gmail.com

hello,

i'm not being able to connect to company network through the vpn. pls check.

cc: sir-i am not being able to upload as a result of no company network.",dceoufyz saufqkmd,GRP_0
erp SID_37 password reset,erp SID_37 password reset,jqhtkfsm xoehtbnl,GRP_0
unable to login to hr_tool to check payslips,unable to login to hr_tool to check payslips,dtisfuyp fpvrjlkz,GRP_0
account locked out,account locked out,lduqxywt wcydjgvl,GRP_0
unable to login to hr_tool,unable to login to hr_tool,mwebfhdz csndrxgi,GRP_0
unable to log in to erp SID_34,unable to log in to erp SID_34,hvskpglx bpsfxmon,GRP_0
password reset for collaboration_platform,password reset for collaboration_platform,wrlzneit ayqutwgh,GRP_0
reset  users,"hi

please reset users password

client id: 794
username : xyz",qcehailo wqynckxg,GRP_0
